VENDOR,SUMMARY,URL,TITLE,FORMAT,PERIOD,ATTACK COUNTS,R/A,D/P,VECTORS,CHANGES END OF 2022,ATTACK DURATION/SIZE,ATTACK INTENSITY,CARPET BOMBING/PREFIX,MULTI-VECTOR,TARGET,VANTAGE POINTS/SOURCES
A10,"DDoS landscape in 2022. Focuses on the number of ""weapons"", not attacks themselves.",https://www.a10networks.com/resources/reports/2022-ddos-threat-report/,2022 DDoS Threat Report,Form/PDF,2019 up to 2021 2H,No information about attack counts,"p8: ⬆︎161% R/A hosts and DDoS bots. 
p21: SSDP",No specific information about direct/path attacks and associated vectors.,"p9: largest DDoS ""weapons"" (reflectors, bots): SSDP 2.92M, PORTMAP 2M, SNMP 1.88M, DNS resolvers: 1.59M",Ends 2021,No information about attack duration.,"Report makes a link between the attack intensity or destructive impact and the number of ""weapons""",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,p5: Russia-Ukraine,"p7: ""A10 Networks’ security research team gathers weapons intelligence by closely monitoring attack agents under the control of botnet command and control (C2); discovering malware innovations by deploying honeypots; intercepting self-replicating botnets; and scanning the internet for exposed reflected amplification sources."""
Akamai,DDoS landscape in 2022,https://www.akamai.com/blog/security/ddos-attacks-in-2022-targeting-everything-online,"DDoS Attacks in 2022: Targeting Everything Online, All at Once",Open/Web,2022,No information about attack counts,"Fig. 3: ""most common attack vectors targeting tcp:80, tcp:443, port 53, and port >1000."" In our opinion, this seems incorrect: although any IP can be attacked using almost any protocol and port, it does not seem feasible to attack tcp:80 using UDP, or TCP with a different port.","In Fig.3, ""UDP flood"" is listed as 15.7% of attacks against TCP:443, as well as other UDP-based vectors. We believe this classification does not make sense.",,"""In recent months, we’ve observed a surge in horizontal attacks (Figure 1)."" Carpet-bombing.",No information about attack duration.,"No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.","Fig 1: per quarter. Emphasis on carpet-bombing: “Horizontal attacks refer to simultaneous DDoS attacks aimed at multiple, unrelated targets (which is why they’re sometimes called carpet bomb attacks)."" 
""In recent months, we’ve observed a surge in horizontal attacks""
""which hit 1813 IP addresses distributed across six physical data centers,""","Fig 3 has 4 pie charts that show the fraction of vectors used, depending on the targeted IP:port. There are no comments about potential overlap of vectors in attacks.","No information about targets, such as Industries, regions or countries affected.","""By analyzing the ﬂow of data traversing our network, we can gain valuable insight into an IP's activities prior to an attack, which we refer to internally as its ""IP day job."""""
Akamai,"10y evolution of DDoS vectors, with a graph showing the fractions of vectors used in attacks",https://www.akamai.com/blog/security/relentless-evolution-of-ddos-attacks,The Relentless Evolution of DDoS Attacks,Open/Web,2010-2022 (2022-05),No information about attack counts,"""Fig. 4: CharGEN attacks, SSDP ﬂoods, and CLDAP reﬂections are rarely seen today""
NTP reflection 10.7%","Fig. 2: ""UDP ﬂoods, SYN ﬂoods, and UDP fragmentation... They continue to be seen in force, often alongside other vectors.""
Fig. 5: 2022 (D/P) vectors: UDP flood 14.8%, UDP fragment 13.9%, SYN flood 9.2%, ACK flood 5.4%, DNS flood 5.3%",Fig. 1 represents the use of vectors through time; a long list of vectors.,Ends 2022-05,No information about attack duration.,"No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.",No information about attacks with carpet-bombing.,Mentions the use of multiple vectors together,"No information about targets, such as Industries, regions or countries affected.",No information about sources or methodology used.
Arelion,"DDoS landscape in 2022, slide-based style",https://www2.arelion.com/wp-securityreport2023,DDoS Threat Landscape Report 2023,Open/PDF,2022,"p5: ""The number of DDoS attacks in our global network decreased by a 1/3 in 2022 – with 50% fewer attacks towards our customers.""","p11: "" As a result [of reduction of spoofing], the underlying threat from reﬂection attacks is slowly but surely being reduced.""
p11: ""DNS & NTP are still the two most common attack vectors, with NTP decreasing slightly during the year. ""","p14: ""we are seeing an increase in direct-path attacks from botnets, – albeit it to a lesser extent. These are more expensive to purchase since bots are a valuable asset for cyber criminals and if exposed, they risk being shut down when used extensively. Also, proxies are being used more – as a smoke screen to protect the bots from being exposed."" It is not clear if the increase is of D/P attacks, or D/P attacks from botnets.","⬇︎ spoofed UDP attacks
p11: ""We also noticed a decline in UDP-based spooﬁng attacks as servers are slowly being secured throughout the internet and are consequently used less frequently for such attacks.""","p5: ""There was a dramatic reduction in DDoS activity within our network during the final months of the year. "" 
p5: ""...there was a noticeable trend towards larger (bps) attacks targeting our customers at the end of the year. ""
Reduction of NTP, increase of memcached, TCP SYN.","p9: Avg duration ⬆︎3% (11min). Avg attack size ⬆︎10% (11 Gbps) ⬆︎61% (6 Mpps). Most attacks were small. 50% of attacks last 5-10min.
p10: ""When looking at the overall size distribution of attacks in our backbone, we see that while there has been an increase in the number of large attacks, the vast majority of attacks are still small. ... We saw the biggest increase in the 5-20 & 20-50 Gbps attack ranges.""","p6: Peak attack bandwidth ⬆︎19%. p8: Peak attack 813 Gbps, 854 Mpps","p15: ""CB attacks have become increasingly less effective, more sporadic. """,No information about the number of vectors in attacks.,"No information about targets, such as Industries, regions or countries affected.","p2: ""Operating the world’s #1 Internet backbone gives us a unique global perspective on the constantly evolving DDoS threat landscape. Using our own network data... When looking at the overall size distribution of attacks in our backbone..."""
Cloudflare,"DDoS landscape in Q4 2022. The reports are quarterly, and so most comparisons are QoQ, not YoY. Separates in two classes attacks: HTTP/S DDoS and ""network layer"" attacks.",https://radar.cloudflare.com/reports/ddos-2022-q4,DDoS Attack Trends for 2022 Q4,Open/Web,2022 Q4,No information about attack counts,"""In Q4, Memcached-based DDoS attacks saw the highest growth — a 1,338% increase QoQ"".
""In second place, SNMP-based DDoS attacks increased by 709% QoQ.""","""In Q4, SYN floods remained the attacker’s method of choice — in fact, almost half of all network-layer DDoS attacks were SYN floods.""
""The amount of HTTP DDoS attack traffic still increased by 79% YoY""
""Application-layer DDoS attacks: Distribution by quarter... we can see a clear downward trend in attacks each quarter this year."" Bar plot shows that HTTP DDoS attacks decreased in each quarter: 28%, 27%, 24%, 21%.","This report separates attacks into two classes: Application layer, and Network layer (which actually includes the transport layer e.g. SYN attacks).
""Network-layer DDoS attacks: Distribution by quarter"". Quarters: 21%, 24%, 30%, 26%. It does not indicate if the attacks are D/P or R/A.",No plot or table with longitudinal data for the period considered.,"""In Q4, the amount of shorter attacks lasting less than 10 minutes decreased by 76% QoQ, and the amount of longer attacks increased. Most notably, attacks lasting 1-3 hours increased by 349% QoQ and the amount of attacks lasting more than three hours increased by 87% QoQ. Most of the attacks, over 67% of them, lasted 10-20 minutes.""","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,"""Source and targets of DDoS attacks"". Contains a discussion about countries and industries attacked.","""This report includes insights and trends about the DDoS threat landscape - as observed across Cloudflare’s global network."""
Comcast,"Generic report, includes DDoS landscape in 2022, from p21",https://business.comcast.com/community/docs/default-source/default-document-library/ccb_threatreport_071723_v2.pdf?sfvrsn=c220ac01_2,"2023 Comcast Business
Cybersecurity Threat
Report",Open/PDF,2022,"p22: ""The year 2022 saw a slight decline in worldwide DDoS attacks. ... Comcast Business detected a total of 51,915 DDoS attacks.""
We observed that the number of DDoS attacks in the Comcast 2021 report was different in orders of magnitude, in the millions. We asked Comcast, which indicated that the discrepancy was ""due to a change in methodology"", without further details.","p23: ""Vectors Responsible for Generating DDos Traffic"". Percentages normalised to total traffic (similar to Cloudflare): DNS R/A 7%, 1% R/A other. 
p23: ""While amplification attacks continued to play a role, they represented a smaller percentage of attack traffic.""
With benign 85%, we assume DNS R/A was 7/15 or 46% of attack traffic.","p23: Out of total traffic, TCP SYN 3%. With 85% benign traffic, we assume that TCP SYN was 3/15 or 20% of attack traffic.","p23: ""Adversaries did not change their tactics much during 2022. Most attacks still used low-complexity, high-impact flooding techniques. This is validated by NetScout’s review of all 9.4 million DDoS attacks they tracked last year, which identified total traffic, UDP, and TCP Sync as the top three vectors used"" There is no link.","Potential decrease in #attacks in December. p22: plot shows that the number of attacks went up July-Aug-Sept (2.8k, 4.5k, 8k), then decreased Oct-Nov-Dec (5k, 5.1k, 3k).","p22: ""Short-burst attacks dominate. ... Once again, the bulk of the attacks were under ten minutes long. The trend of short-burst attacks has continued since the prior year.""
0-5m (22%), 6-10m (54%), 1-12h (3%).","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.",No information about attacks with carpet-bombing.,"p23: ""31% of Comcast Business detected attacks in 2022 were multi-vector attacks. 82% of all multi-vectors contained DNS amplification vectors.""","p23: ""Figure 13: DDoS attacks by industry segment detected by Comcast Business in 2022""",No information about sources or methodology used.
Corero,DDoS landscape in 2022,https://www.juniper.net/content/dam/www/assets/analyst-reports/us/en/2023/corero-ddos-threat-intelligence-report.pdf,2023 DDoS Threat Intelligence Report,Open/PDF,2022,No information about attack counts,No information about reflection/amplification attacks.,"p13: ""Data compiled by the Corero Threat Intelligence team and shown in figure 8 confirms a significant 70% increase in the percentage of successfully detected and mitigated DDoS attacks using TCP-based vectors.""
In the figure, TCP represented 28-38% of attacks when compared to UDP. Note that unlike TCP, UDP is used in both D/P and R/A attacks, so it is not possible to say what was the increment in D/P.",p12: ⬆︎600% in IPv6 traffic,No plot or table with longitudinal data for the period considered.,"p18: 75% attacks < 10min, ⬆︎60% attacks > 60min","p18: 98% attacks < 10 Gbps, ⬆︎25% high packet rate attacks","p6: ⬆︎300% CB. 1844 attacks in 2021, 7581 in 2022. 
p6: ""Carpet bomb attacks are difficult to defend against, stymying many of the traditional detect-and-redirect DDoS mitigation techniques."" The report contains a long explanation of CB attacks, including an example (Section 2).",No information about the number of vectors in attacks.,"p14: 29% destination port 53, 17% destination port 80, 7% 123 (NTP). 
p14: ""It is not possible to pinpoint the precise reason for the choice of these destination ports. But, based upon a mapping of the target ports on the intended victim IP/system, our analysis suggests that it is not primarily to attack these specific DNS, web, or NTP-based services. Instead, we believe that these ports are chosen for the access they provide for malicious traffic to enter the network via open ACL/firewall rules.""",No information about sources or methodology used.
DDoS-Guard,DDoS landscape in 2022 (Russian),https://ddos-guard.net/en/blog/ddos-attack-trends-2022,DDoS Attack Trends in 2022,Open/Web,2022,"""1,255,573 is the total number of DDoS attacks detected and successfully mitigated by DDoS-Guard in 2022.""
""We observe the greatest upsurge in DDoS attacks in recorded history. Ongoing geopolitical events made the number of attacks on Russian websites increase by 700%, compared to 2021.""",No information about reflection/amplification attacks.,No specific information about direct/path attacks and associated vectors.,"""Emphasis on Application Layer Attacks. We observed an over 600% increase in the number of DDoS attacks in the first half of 2022. Most of them were application layer attacks (L7, according to the OSI model). """,No plot or table with longitudinal data for the period considered.,"""The duration of DDoS attacks has decreased, in comparison to 2021. Nevertheless, the frequency has increased by 3-4 times.""
""In 2022, the vast majority of DDoS attacks lasted up to 20 minutes, and a signiﬁcant number of them lasted from 20 minutes to 1 hour. Attacks lasting 24 hours or longer comprise less than 1% of the total number of incidents.""
700k attacks < 20min, 281k 20min-1h, 178k, 1-6h, 26k 6-12h... 3k > 24h","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,"""The primary targets were websites related to the media, government, and ﬁnancial services.""
""The number of DDoS attacks on media portals increased by a record-breaking 76 times (51,842 incidents compared to 670 in 2021). Government-related websites were also constantly under attack, with the number of incidents increased by 55 times (20,766 compared to 370). The websites of banks and financial organizations were attacked 20 times more often than in 2021 (27,600 incidents compared to 1,318).""",No information about sources or methodology used.
DDoS-Guard,DDoS landscape in 2022 (Russian). Infographic with a summary of numbers.,https://ddos-guard.net/info/protect?id=40954,"Analytical Report
on DDoS Attacks
for 2022",Open/PDF,2022,"p4: 1.25M attacks, compared to 147k in 2021. The one order of magnitude increase may be associated with the Russia-Ukraine conflict, as this is a Russian provider. Highest number of attacks in March.",No information about reflection/amplification attacks.,No specific information about direct/path attacks and associated vectors.,"This report separates attacks into two classes: Layer 7, and Layer 3-4.
p2: 171k L3-L4 attacks vs 1M L7 attacks. This contradicts the reports that state that flooding attacks are the most common, by far.",p3: Plot shows the number of attacks per month. There is a visible reduction in November and December 2022.,"p4: ""In 2022, we detected a new internal record: the longest DDoS attack lasted 68 days, compared to 52 days in 2021. Though, the overall trend has been as follows: short-duration attacks have become more common, with the total number increasing by 700%.""","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,"p2: ""Distribution of Attacks by Industry""",No information about sources or methodology used.
F5,DDoS landscape in 2022,https://www.f5.com/labs/articles/threat-intelligence/2023-ddos-attack-trends,2023 DDoS Attack Trends,Open/Web,2020-2022,"""Overall observed events are down by -9.7%""
Figure 2: 984 attacks in 2022, ~1100 in 2021.",No information about reflection/amplification attacks.,"""In 2022, Application vector attacks grew dramatically, by 165%, even as the overall number of attacks went down.""
Of L7-attacks, 93.4% were DNS request floods, not DNS R/A; see Terms Used in This Report.","This report separates attacks into the following classes: Volumetric, Protocol, Application, and Multiple Vector.
""Figure 2 2020-2022 DDoS Attack Category counts. This shows a large increase in the number of Application attacks, with a corresponding reduction in Volumetric and Multiple Vector categories""
From plot, Total 984 attacks: Multi-vector (369), L7 (351), vol. (168), protocol (96).",See Figure 10 Peak bandwidth over time 2020-2022. We see no visible effect.,No information about attack duration.,"""In 2022, the maximum peak bandwidth we observed was 800mbps, down from 1.39tbps the year before, a 42.4% decrease (Figure 3)""",No information about attacks with carpet-bombing.,Fig. 2: 369/984 attacks multi-vector,DDoS attacks targeting DNS ports or services,"""A Note on the Analysis... There are, however, a few things to keep in mind when reading any analysis of DDoS trends and events. Bringing a critical frame of mind to any data to determine relevance to your specific situation is key to being able to turn observations into action. Any dataset relating to DDoS traffic will only show what the collection point was able to observe, and this will be only a fraction of the total DDoS that occurred across the internet.""
"
Huawei,DDoS landscape in 2022,https://e.huawei.com/en/material/networking/security/0c561b8fd2d342999cd402bcecf6d452,Global DDoS Attack Status and Trend Analysis in 2022,Open/PDF,2022,"p16: ""In 2022, Huawei detected 104,922 attacks exceeding 100 Gbps, with an average of 287 attacks per day. The number of attacks at over 100 Gbps is 1.5 times that of 2021 and 2.1 times that of 2020."" With this analysis, the report removes the large number of attacks that are too small to be disruptive.",No information about reflection/amplification attacks.,"p2, p14: ""The largest application-layer attack in the Internet history occurred in June 2022, peaked at 46 million rps""","p3: ""In the past three years, the proportions of ACK flood and UDP flood attacks in network-layer attacks have been increasing year by year."" 
p19: ""In 2022, SYN flood, ACK flood, UDP flood, UDP reflection, and TCP reflection attacks are top 5 network-layer attacks."" Therefore, the fraction of D/P attacks (the three first) is likely higher than that of R/A (the two others).
p19: ""In 2022, ACK flood attacks accounted for 23.16%, 2.1 times that in 2021 and 10.9 times that in 2020. The main reason why the number of ACK flood attacks increases rapidly is that network-layer CC attacks launched by the Mirai botnet are destructive, and hard to be defended against."" The reason mentioned was the increase of botnets, not a reduction in spoofing, though these may be inter-related.","p15-18: Plots by month 2020-2022 show some changes in the period Oct-Dec 2022. However, it is hard to see a meaningful trend.","p3: ""57.40% of network-layer attacks and 40.49% of application-layer attacks last for ≤ 5 minutes""","p2: ""There were 232 attacks above 800 Gbps, 1.67 times that in 2021.""
p2: ""In November, China Telecom's security team detected the attack with the annual maximum bandwidth, which peaked at 3.189 Tbps.""
p2: ""In April, China Telecom's security team detected the attack with the annual highest packet rate, which peaked at 861 Mpps.""","p14: ""The scale of carpet-bombing attacks rapidly increases, with the attacked class C IP address segments surging from 100+ in 2021 to 600+ in 2022. Ultra large-scale attacks pose severe challenges to defense costs.""","p21: ""In 2022, the proportion of multi-vector attacks accounted for 63.47%, which is less than that in 2021."" The bottom plot on the same page shows that in 2022 36% of attacks used 1 vector, while 30% had 5+ vectors.
p6: ""During the 2022 World Cup, DDoS attacks were extremely active. Multiple attacks on payment platforms and APIs occurred in China. ... The entire attack process can be divided into seven phases, and a total of 14 attack vectors were used: UDP flood, spoofed QUIC flood, SYN flood, large SYN flood, SYN flood with real source IP addresses, network-layer CC, NTP reflection, SSDP reflection, DNS reflection, UDP fragment, TCP reflection, ICMP flood, other flood, and application-layer CC (HTTP flood).""","p39: ""API calls currently account for more than 83% of all Internet traffic according to Akamai. Cloudflare claims that 55% of traffic traversing its network is related to APIs. Due to the large quantity of APIs and enterprises' inadequate attention to API security, API attacks have become one of the biggest threats faced by enterprises. Cloudflare also claims that its network security devices block more traffic attacking APIs than that attacking websites. This indicates that APIs have become the main target of network attacks.""
p39: ""Attack Type Distribution. By tracing the DDoS attacks targeting APIs, we find that APIs suffer most of the attacks that have occurred on the Internet. In 2022, the top 5 types of attacks targeting APIs were network-layer CC, SYN flood, UDP flood, HTTP flood, and UDP reflection attacks.""
Note: CC = Challenge Collapsar. CC attacks are mainly used to attack web pages (via invalid requests). 
p39-49: Attacks against APIs. 
p51-72: Attacks against the finance industry.","p77: ""The data involved in this report originates from China Telecom Cybersecurity Technology Co.,Ltd., China Unicom Digital Technology Company Limited, Baidu Security, Nexusguard, Huawei Cloud, and DDoS attack related data from Huawei's customers after authorization."""
Imperva,DDoS landscape in 2022,https://www.imperva.com/resources/resource-library/reports/ddos-threat-landscape-report-2023/,DDoS Threat Landscape Report 2023,Form/PDF,2021-2022,"p9: ""Application Layer DDoS attacks increasing year on year. The number of application layer DDoS attacks has been on an upward trajectory year on year as the chart below shows."" The Y axis does not show values or units, so it is not possible to read the magnitude of the growth, even in relative terms. The same problem applies to other plots on the same page.
The report does not comment about the global number of DDoS attacks, considering all categories.",No information about reflection/amplification attacks.,"p8: ""Application Layer (L7) DDoS attacks increased by a staggering 82% YoY in 2022 vs 2021.""
SYN 21%","This report separates attacks in two classes, Application Layer DDoS Attacks, and Network Layer DDoS Attacks, and presents results separately.
p12: ""Network Layer DDoS most common attack vectors."" According to the pie chart on the same page: UDP 42%, SYN 21%, TCP 11%, DNS response 7.8%, NTP 7.7%.",p8: The bar plot shows monthly Application Layer DDoS attacks. There is some growth in the last three months of 2022.,"p10: ""Application Layer DDoS Attack Duration. Our research shows that Layer 7 DDoS attack duration is becoming longer in duration with almost 40% of all Layer 7 DDoS attacks lasting more than 12 hours, an increase of 33% of attacks in 2021.""
p13: ""Network Layer DDoS attack duration. 66% of all Network Layer DDoS attacks mitigated by Imperva lasted 15 minutes or less in 2022.""
p10, p13: pie charts. L7 attacks longer (40%>12h, 27%<15m) than L3/L4 (66%<15m, 12-24h 1.2%).","p3: ""The largest Layer 3 and 4 DDoS attack occurred in July and peaked at 1373 gigabits per second (Gbps). Layer 3 and 4 attacks rose dramatically in August 2022 in comparison to any other month of the year."" 
p11: ""The largest protocol attack mitigated peaked at 591 million packets per second (Pps).""",No information about attacks with carpet-bombing.,"p11: ""In 2022, almost 73% of all layer 3 and 4 DDoS attacks consisted of a single vector which is in sharp contrast to 2021 when only 21% of attacks were single-vector. This might indicate that DDoS attackers are leveraging single vector attacks as part of a wider attack strategy possibly as a distraction tactic.""","p9: ""Application Layer DDoS attacks growth by industry. Application Layer DDoS attacks on the Telecoms and Internet Services Provider (ISP) sector increased by 250% in 2022 vs 2021. Application Layer DDoS attacks on Financial Services more than doubled in 2022 compared to the previous year’s increase by 121%.""

p12: ""Network Layer DDoS most targeted industries. Financial Services and Banking targets accounted for around 16% of all network layer DDoS attacks in 2022 followed by the Entertainment industry at 8.4%.""

p6: ""Why APIs are a Target for DDoS Attacks. A shift to more modern applications has meant an explosion in the adoption of API endpoints which, as they become more intrinsic to a company's infrastructure, present new opportunities for cybercriminals to cause disruption."" Similar to Huawei's report, there is some emphasis on attacks against APIs.

p5: ""No one is safe from DDoS. In December 2022, it was reported that a DDoS strike on the Vatican website took it offline for several days, possibly the work of Russian activists.""","p3: ""The report leverages intelligence provided by Imperva Threat Research based on data from application and network DDoS attacks we have mitigated. It also provides additional observations based on general DDoS activity throughout the year."""
Kapersky,"DDoS landscape in Q3 2022. Report highlights threat actors and high-profile attacks, but does not describe them. It includes relative/normalised trends and stats.",https://securelist.com/ddos-report-q3-2022/107860/,DDoS attacks in Q3 2022,Open/Web,2022 Q3. No 2022 Q4 report.,"""The number of DDoS attacks in Q3 2022 fell again. Having decreased by 13.72 percent in the previous reporting period relative to the one before, this quarter it dropped by a further 27.29 percent, to 57,116.""

Figure: ""Comparative number of DDoS attacks, Q32021,Q2 and Q3 2022.Q3 2021data is taken as100%. The first thing worth noting is the significant rise in the number of DDoS attacks of all types relative to the previous reporting period."" The attack count in Q3 2022 is 203.66% compared to Q3 2021.",No information about reflection/amplification attacks.,"""The share of UDP flood fell from 62.53 to 51.84 percent, but remained the most common type of DDoS. The second most common, SYN flood, on the contrary, increased its share to 26.96 percent. TCP flood (15.73%) reversed its decline, adding more than 4 percentage points to hold on to third place. GRE flood and HTTP flood made up 3.70 and 1.77 percent, respectively, of the total number of attacks.""
""UDP flood accounted for 51.84 percent of the total number of attacks, and SYN flood for 26.96 percent.""","""In Q3 2022, the ranking of DDoS attack types was unchanged from the previous reporting period.""
""Moreover, DDoS attacks on HTTP(S) this quarter exceeded those on TCP for the first time, despite the latter being easier to organize and still the most common type of DDoS.""
""What’s most interesting is that, in absolute terms, the number of attacks on HTTP(S) has remained quite stable over the past year. The share of attacks on TCP is on a downward curve, which reflects well the general trend: the share of dumb DDoS attacks is falling, while that of smart attacks is growing.""",No plot or table with longitudinal data for the period considered.,"""Attacks lasting less than four hours accounted for 60.65 percent of the total duration of attacks and for 94.29 percent of the total number of attacks.""
""In Q3 2022, sustained attacks of 20 hours or more accounted for 19.05 percent of the total duration of attacks.""
In Q3, 19% of attacks > 20h; 3.16% of attacks 3.16% 5-9 hours.","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.","""The number of unique targets of DDoS attacks in this report is counted by the number of unique IP addresses in the quarterly statistics."" Carpet bombing attacks would count as many different targets.",No information about the number of vectors in attacks.,"""A total of 39.61 percent of targets, affected by 39.60 percent of attacks, were located in the US.""
""In Q3 2022, the top four countries in terms of resources attacked remained unchanged from the previous reporting period. The US (39.60%) remained in first place, despite losing 6.35 percentage points. Mainland China’s share (13.98%) increased by almost the same amount, up 6.31 percentage points, securing second place. Germany (5.07%) remains in third and France (4.81%) in fourth place.""","""DDoS Intelligence statistics are limited to botnets detected and analyzed by Kaspersky. """
